term_or_phrase,common_abbreviation,type,chinese,category,scenario,definition_en,definition_cn,example_sentence,translation,difficulty,source_section,knowledge_source,standard_classification,business_domain,term_frequency_level,business_scenario
Transition date,,phrase,过渡日,IFRS 1,IFRS 1,"Transition date is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",过渡日，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The transition date is the beginning of the earliest period for which an entity presents full comparative information under IFRS Accounting Standards.,过渡日是指主体按照IFRS会计准则列报完整比较信息的最早期间的期初。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 157 | example: Model Accounts.txt: line 5132 | example: Illust_FS(12.25).txt: line 9143,IFRS professional vocabulary,General IFRS/HKFRS,IFRS 1,5 - Very high / core,Financial reporting
Exposure to variable returns,,phrase,可变回报敞口,IFRS 10,IFRS 10,"Exposure to variable returns is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",可变回报敞口，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Financial statement users consider Exposure to variable returns when assessing risk.,财务报表使用者在评估风险时会考虑可变回报的风险敞口。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 217 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 3359,IFRS professional vocabulary,General IFRS/HKFRS,IFRS 10,4 - High,Financial reporting
Power over investee,,phrase,对被投资方的权力,IFRS 10,IFRS 10,"Power over investee is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",对被投资方的权力，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The policy note states when Power over investee is recognised.,政策说明载明了对被投资方拥有控制权的确认时点。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 213,IFRS professional vocabulary,General IFRS/HKFRS,IFRS 10,3 - Medium,Financial reporting
Observable input,,phrase,可观察输入值,Valuation inputs,IFRS 13 | market data; quoted prices,"An input developed using market data, such as publicly available information about actual events or transactions.",可观察输入值，是指使用市场数据形成的输入值，例如关于实际事项或交易的公开信息。,The accountants' report presents the basis used for observable inputs.,会计师报告列示了可观察输入值所采用的依据。,Medium,IFRS专业词汇.xlsx/Sheet1 row 234 | example: Illust_FS(12.25).txt: line 6188 | example: Illust_FS(12.25).txt: line 6017 | example: Illust_FS(12.25).txt: line 6009 | example: Illust_FS(12.25).txt: line 6011 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 219; IFRS 13,IFRS/HKFRS standards term library,IFRS 13,Fair value / Valuation,5 - Very high / core,Valuation
Unobservable input,,phrase,不可观察输入值,Valuation inputs,IFRS 13 | DCF assumptions; private valuation,An input for which market data are not available and that is developed using the best information available about market participant assumptions.,不可观察输入值，是指无法取得市场数据、并使用关于市场参与者假设的最佳可得信息形成的输入值。,Users review unobservable inputs to understand recognition and measurement.,使用者审阅不可观察输入值以理解确认和计量。,Medium,IFRS专业词汇.xlsx/Sheet1 row 235 | example: Illust_FS(12.25).txt: line 6188 | example: Illust_FS(12.25).txt: line 6017 | example: Illust_FS(12.25).txt: line 6011 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 220; IFRS 13,IFRS/HKFRS standards term library,IFRS 13,Fair value / Valuation,5 - Very high / core,Valuation
Over time recognition,,phrase,在某时段内确认收入,IFRS 15,IFRS 15,"Over time recognition is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",在某时段内确认收入，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The tax reconciliation highlights the effect of Over time recognition.,税务调节表突出了在某段时间内确认收入的影响。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 249,IFRS professional vocabulary,General IFRS/HKFRS,IFRS 15,3 - Medium,Financial reporting
Point in time recognition,,phrase,在某一时点确认收入,IFRS 15,IFRS 15,"Point in time recognition is a professional expression used in consolidation accounting, including control, subsidiaries, structured entities or group financial statements.",在某一时点确认收入，是合并会计中的专业表达，通常涉及控制、子公司、结构化主体或集团财务报表。,Controllers check whether Point in time recognition has been applied consistently.,主计长检查某一时点确认收入是否得到一贯应用。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 248,IFRS professional vocabulary,IFRS 10,Consolidation,3 - Medium,Financial reporting
Lessee,,term,承租人,IFRS 16,IFRS 16,"Lessee is a professional expression used in lease accounting, including lessee or lessor recognition, measurement and presentation.",承租人，是租赁会计中的专业表达，通常涉及承租人或出租人的确认、计量和列报。,"Alternatively, an entity (a lessee) may choose to present lease liabilities separately from other liabilities in the statement of financial position.",或者，主体（作为承租人）可以选择在财务状况表中将租赁负债与其他负债分开列报。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 78 | example: Illust_FS(12.25).txt: line 2938 | example: Illust_FS(12.25).txt: line 11353 | example: isg-2026-ifs.txt: line 627,IFRS professional vocabulary,IFRS 16,Leases,5 - Very high / core,Financial reporting
Lessor,,term,出租人,IFRS 16,IFRS 16,"Lessor is a professional expression used in lease accounting, including lessee or lessor recognition, measurement and presentation.",出租人，是租赁会计中的专业表达，通常涉及承租人或出租人的确认、计量和列报。,A finance lessor may recognise a gain or loss on commencement of a finance lease.,融资租赁的出租人可能在融资租赁开始日确认利得或损失。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 79 | example: Illust_FS(12.25).txt: line 2997 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 18737,IFRS professional vocabulary,IFRS 16,Leases,5 - Very high / core,Financial reporting
Low-value asset lease,,phrase,低价值资产租赁,IFRS 16,IFRS 16,"Low-value asset lease is a professional expression used in financial instruments accounting, including classification, measurement, impairment, hedging or risk disclosure.",低价值资产租赁，是金融工具会计中的专业表达，通常涉及分类、计量、减值、套期或风险披露。,Risk managers consider Low-value asset lease in the financial instruments note.,风险管理人员在金融工具附注中考虑低价值资产租赁。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 258,IFRS professional vocabulary,IFRS 9,Financial instruments,3 - Medium,Financial reporting
Fair value of equity instruments,,phrase,权益工具公允价值,IFRS 2,IFRS 2,"Fair value of equity instruments is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",权益工具公允价值，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The closing checklist includes a review of Fair value of equity instruments.,结账清单包括对权益工具公允价值的复核。,advanced,IFRS专业词汇.xlsx/Sheet1 row 167 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 17013,IFRS professional vocabulary,IFRS 13,Fair value / Valuation,4 - High,Valuation
Identifiable net assets,,phrase,可辨认净资产,IFRS 3,IFRS 3,"Identifiable net assets is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",可辨认净资产，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,Identifiable net assets acquired in a business combination are measured at their acquisition-date fair values.,企业合并中取得的可辨认净资产按其在购买日的公允价值计量。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 175 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 10113 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9140 | example: isg-2026-ifs.txt: line 6676,IFRS professional vocabulary,IFRS 13,Fair value / Valuation,5 - Very high / core,Valuation
Held for sale,,phrase,持有待售,IFRS 5,IFRS 5,"Held for sale is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",持有待售，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Disposal group held for sale (continued),持有待售的处置组（续）,intermediate,IFRS专业词汇.xlsx/Sheet1 row 178 | example: Illust_FS(12.25).txt: line 2652 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 1720 | example: isg-2026-ifs.txt: line 3184,IFRS professional vocabulary,IFRS 5,Assets held for sale / Discontinued operations,4 - High,Financial reporting
Collateral,,term,抵押品,IFRS 7,IFRS 7,"Collateral is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",抵押品，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Professional judgement is applied when interpreting Collateral.,在解释抵押品时需要运用专业判断。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 189 | example: Illust_FS(12.25).txt: line 8320 | example: isg-2026-ifs.txt: line 5180,IFRS professional vocabulary,General IFRS/HKFRS,IFRS 7,4 - High,Financial reporting
Exposure to risk,,phrase,风险敞口,IFRS 7,IFRS 7,"Exposure to risk is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",风险敞口，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The segment note reconciles Exposure to risk to reported amounts.,分部附注将风险敞口调节至报告金额。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 188 | example: Model Accounts.txt: line 5796 | example: isg-2025-insights-an-overview.txt: line 1944,IFRS professional vocabulary,General IFRS/HKFRS,IFRS 7,4 - High,Financial reporting
Risk concentration,,phrase,风险集中度,Risk,IFRS 7 | customer concentration; credit risk,"Risk concentration is a professional expression used in financial instruments accounting, including classification, measurement, impairment, hedging or risk disclosure.",风险集中度，是金融工具会计中的专业表达，通常涉及分类、计量、减值、套期或风险披露。,Investors may focus on risk concentrations.,投资者可能重点关注风险集中度。,Medium,IFRS专业词汇.xlsx/Sheet1 row 187 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 123; IFRS 7,IFRS/HKFRS standards term library,IFRS 7,Financial instruments,3 - Medium,Financial reporting
Segment reporting,,phrase,分部报告,IFRS 8,IFRS 8,"Segment reporting is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",分部报告，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,“Segment reporting” and included the information on the entity's products and services and major customers in Note 3(a),「分部报告」并在附注3(a)中列入了关于主体产品、服务及主要客户的信息。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 142 | example: Illust_FS(12.25).txt: line 4947,IFRS professional vocabulary,IFRS 15,Revenue,4 - High,Financial reporting
Segment revenue,,phrase,分部收入,IFRS 8,IFRS 8,"Segment revenue is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",分部收入，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Segment revenue is disclosed for each reportable segment when it is reviewed by the chief operating decision maker.,当主要经营决策者审阅分部收入时，主体应披露各可报告分部的分部收入。,basic,IFRS专业词汇.xlsx/Sheet1 row 193 | example: Illust_FS(12.25).txt: line 4452 | example: isg-2026-ifs.txt: line 1301 | example: isg-2026-ifs.txt: line 1496,IFRS professional vocabulary,IFRS 15,Revenue,5 - Very high / core,Financial reporting
12-month ECL,,phrase,12个月预期信用损失,IFRS 9,IFRS 9,"12-month ECL is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",12个月预期信用损失，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The valuation report explains how 12-month ECL was measured.,估值报告说明了12个月预期信用损失的计量方式。,intermediate,IFRS专业词汇.xlsx/Sheet1 row 203 | example: Illust_FS(12.25).txt: line 3180 | example: Illust_FS(12.25).txt: line 3282,IFRS professional vocabulary,IFRS 9,Fair value / Valuation,5 - Very high / core,Valuation
expected credit loss,ECL,phrase,预期信用损失,Impairment,IFRS 9 | 金融资产减值、应收账款坏账准备,The weighted average of credit losses with the respective risks of default occurring as the weights.,预期信用损失，是指以发生违约风险为权重计算的信用损失加权平均值。,Expected credit loss assessment for individual customers (continued),个别客户的预期信用损失评估（续）,advanced,IFRS专业词汇.xlsx/Sheet1 row 201 | Illust_FS(12.25).txt: line 2721 | IFRS专业词汇.xlsx/Sheet1 row 88 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 26985 | example: Model Accounts.txt: line 2085 | example: isg-2026-ifs.txt: line 5291,IFRS professional vocabulary,IFRS 9,Financial instruments,4 - High,Financial reporting
corporate assets,,phrase,总部资产,Impairment,CGU allocation,"corporate assets is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",总部资产，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,Management applied judgement to corporate assets.,管理层对总部资产作出了专业判断。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 511; IAS 36 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 10232,IFRS/HKFRS standards term library,IAS 36,Impairment,4 - High,Financial reporting
credit-impaired financial asset,,phrase,已发生信用减值的金融资产,Impairment,IFRS 9减值阶段判断 | stage 3 impairment | IFRS 9,"credit-impaired financial asset is a professional expression used in financial instruments accounting, including classification, measurement, impairment, hedging or risk disclosure.",已发生信用减值的金融资产，是金融工具会计中的专业表达，通常涉及分类、计量、减值、套期或风险披露。,The impairment model reflects management's assessment of credit-impaired financial asset.,减值模型反映了管理层对已发生信用减值的金融资产的评估。,advanced,isg-2026-ifs.txt: line 7869 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 154; IFRS 9 | IFRS专业词汇.xlsx/Sheet1 row 89 | IFRS专业词汇.xlsx/Sheet1 row 205 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 26647,IFRS/HKFRS standards term library,IFRS 9,Financial instruments,5 - Very high / core,Financial reporting
fair value less costs of disposal,FVLCD,phrase,公允价值减处置成本,Impairment,可收回金额计算 | recoverable amount | IAS 36,"fair value less costs of disposal is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",公允价值减处置成本，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,"The recoverable amount of the CGUs, which is based on the higher of the value in use and fair value less costs of disposal, has been derived from discounted cash flow models.",现金产出单元的可收回金额按使用价值与公允价值减处置成本两者中的较高者确定，系采用折现现金流量模型计算得出。,advanced,Illust_FS(12.25).txt: line 5857 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 508; IAS 36 | IFRS专业词汇.xlsx/Sheet1 row 283 | example: Illust_FS(12.25).txt: line 5874 | example: Illust_FS(12.25).txt: line 6781 | example: isg-2026-ifs.txt: line 332,IFRS/HKFRS standards term library,IAS 36,Fair value / Valuation,4 - High,Valuation
goodwill impairment test,,phrase,商誉减值测试,Impairment,annual goodwill testing,"goodwill impairment test is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",商誉减值测试，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,The acquisition note describes goodwill impairment test.,收购附注描述了商誉减值测试。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 515; IAS 36 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 10445 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 10069,IFRS/HKFRS standards term library,IAS 36,Impairment,5 - Very high / core,Financial reporting
impairment allowance,,phrase,减值准备,Impairment,应收款和金融资产减值,"impairment allowance is a professional expression used in financial instruments accounting, including classification, measurement, impairment, hedging or risk disclosure.",减值准备，是金融工具会计中的专业表达，通常涉及分类、计量、减值、套期或风险披露。,"On initial recognition, a POCI asset does not carry an impairment allowance.",初始确认时，已发生信用减值的资产不确认减值准备。,intermediate,Model Accounts.txt: line 7122 | example: isg-2026-ifs.txt: line 5372 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 27501,Model financial statements / annual report,IFRS 9,Financial instruments,5 - Very high / core,Financial reporting
impairment loss,,phrase,减值损失,Impairment,P&L; asset write-down | 减值 | IAS 36,"impairment loss is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",减值损失，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,"Subsequent to initial recognition, development expenditure is measured at cost less accumulated amortisation and any accumulated impairment losses.",初始确认后，开发支出按成本减累计摊销及任何累计减值损失计量。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 506; IAS 36 | IFRS专业词汇.xlsx/Sheet1 row 50 | IFRS专业词汇.xlsx/Sheet1 row 279 | example: Illust_FS(12.25).txt: line 2652 | example: Illust_FS(12.25).txt: line 5865 | example: isg-2026-ifs.txt: line 7572,IFRS/HKFRS standards term library,IAS 36,Impairment,5 - Very high / core,Financial reporting
impairment of assets,,phrase,资产减值,Impairment,annual impairment assessment,"impairment of assets is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",资产减值，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,Consistent application of impairment of assets improves comparability across periods.,资产减值会计处理的一贯应用提高了各期间的可比性。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 505; IAS 36 | example: Illust_FS(12.25).txt: line 12812,IFRS/HKFRS standards term library,IAS 36,Impairment,4 - High,Financial reporting
impairment of exploration and evaluation assets,,phrase,勘探及评价资产减值,Impairment,mining assets impairment,"impairment of exploration and evaluation assets is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",勘探及评价资产减值，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,Material changes in impairment of exploration and evaluation assets are explained in the notes.,勘探及评价资产减值的重大变动已在附注中说明。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 109; IFRS 6,IFRS/HKFRS standards term library,IFRS 6,Fair value / Valuation,1 - Very low / niche,Valuation
impairment testing,,phrase,减值测试,Impairment,商誉、无形资产和固定资产,"impairment testing is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",减值测试，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,The impairment testing of equity-accounted investees is discussed in chapter 3.5.,第3.5章讨论了采用权益法核算的被投资方的减值测试。,intermediate,Illust_FS(12.25).txt: line 3322 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 10067 | example: isg-2026-ifs.txt: line 217 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 10213,Model financial statements / annual report,IAS 36,Impairment,5 - Very high / core,Financial reporting
loss allowance,,phrase,损失准备,Impairment,IFRS 9金融资产减值 | ECL allowance,"loss allowance is a professional expression used in financial instruments accounting, including classification, measurement, impairment, hedging or risk disclosure.",损失准备，是金融工具会计中的专业表达，通常涉及分类、计量、减值、套期或风险披露。,Preparers assess loss allowance each reporting period.,编制人员在每个报告期评估损失准备。,intermediate,Illust_FS(12.25).txt: line 3123 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 149; IFRS 9 | example: Illust_FS(12.25).txt: line 10056 | example: Model Accounts.txt: line 2230 | example: isg-2026-ifs.txt: line 7883,IFRS/HKFRS standards term library,IFRS 9,Financial instruments,5 - Very high / core,Financial reporting
recoverable amount,,phrase,可收回金额,Impairment,资产减值测试 | impairment test | 减值 | IAS 36,The higher of an asset's or cash-generating unit's fair value less costs of disposal and its value in use.,可收回金额，是指资产或现金产生单元的公允价值减处置成本与使用价值两者中的较高者。,The estimated costs of constructing the water recycling facility were also included in calculating the recoverable amount.,在计算可收回金额时，还计入了建造水回收设施的估计成本。,intermediate,Illust_FS(12.25).txt: line 3320 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 507; IAS 36 | IFRS专业词汇.xlsx/Sheet1 row 49 | IFRS专业词汇.xlsx/Sheet1 row 280 | example: Illust_FS(12.25).txt: line 5874 | example: Illust_FS(12.25).txt: line 6731 | example: isg-2026-ifs.txt: line 3567,IFRS/HKFRS standards term library,IAS 36,Fair value / Valuation,5 - Very high / core,Valuation
reversal of an impairment loss,,phrase,减值损失转回,Impairment,asset recovery,"reversal of an impairment loss is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",减值损失转回，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,A reversal of an impairment loss is generally recognised in profit or loss.,减值损失的转回一般在损益中确认。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 516; IAS 36 | example: Illust_FS(12.25).txt: line 6572 | example: isg-2025-insights-an-overview.txt: line 1066,IFRS/HKFRS standards term library,IAS 36,Impairment,4 - High,Financial reporting
reversal of write-down,,phrase,减记转回,Impairment,inventory recovery,"reversal of write-down is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",减记转回，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,The annual close process requires review of reversal of write-down.,年度关账流程要求复核减记转回。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 357; IAS 2,IFRS/HKFRS standards term library,IAS 2,Impairment,3 - Medium,Financial reporting
write-down of inventories,,phrase,存货减记,Impairment,inventory NRV assessment,"write-down of inventories is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",存货减记，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,Preparers apply write-down of inventories in the current period.,编制者在本期对存货进行减记处理。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 356; IAS 2,IFRS/HKFRS standards term library,IAS 2,Impairment,3 - Medium,Financial reporting
external sources of information,,phrase,外部信息来源,Impairment indicators,market value; interest rates,"external sources of information is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",外部信息来源，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,Lease accountants reassess external sources of information after a contract modification.,租赁会计师在合同修改后重新评估外部信息来源。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 513; IAS 36 | example: isg-2026-ifs.txt: line 3615,IFRS/HKFRS standards term library,IAS 36,Impairment,4 - High,Financial reporting
internal sources of information,,phrase,内部信息来源,Impairment indicators,obsolescence; asset performance,"internal sources of information is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",内部信息来源，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,Treasury teams monitor internal sources of information as part of financial risk reporting.,资金部门将内部信息来源作为财务风险报告的一部分进行监测。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 514; IAS 36,IFRS/HKFRS standards term library,IAS 36,Impairment,3 - Medium,Financial reporting
cash flow projections,,phrase,现金流量预测,Impairment model,VIU DCF,"cash flow projections is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",现金流量预测，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,The cash flow projections include specific estimates for [X] years.,现金流量预测包括[X]年的具体估计数。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 518; IAS 36 | example: Illust_FS(12.25).txt: line 6780 | example: isg-2026-ifs.txt: line 3554 | example: isg-2026-ifs.txt: line 3011,IFRS/HKFRS standards term library,IAS 36,Impairment,5 - Very high / core,Financial reporting
discount rate,,phrase,折现率,Impairment model,VIU DCF,"discount rate is a professional expression used in impairment accounting, including recoverable amount, cash-generating units or impairment losses.",折现率，是减值会计中的专业表达，通常涉及可收回金额、现金产生单元或减值损失。,"Whichever rate is used (pre ‑ or post ‑tax), the pre ‑tax discount rate needs to be disclosed.",无论采用何种利率（税前或税后），均须披露税前折现率。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 517; IAS 36 | example: isg-2026-ifs.txt: line 335 | example: Illust_FS(12.25).txt: line 6645 | example: isg-2026-ifs.txt: line 3651,IFRS/HKFRS standards term library,IAS 36,Impairment,5 - Very high / core,Financial reporting
current tax,,phrase,当期所得税,Income tax,所得税费用和应交税项 | tax expense; tax payable | 税项 | IAS 12,"current tax is a professional expression used in income tax accounting, including current tax, deferred tax or temporary differences.",当期所得税，是所得税会计中的专业表达，通常涉及当期所得税、递延所得税或暂时性差异。,"Accordingly, th e FSIE regime does not impact HK Listco's current tax and deferred tax positions.",因此，FSIE制度并不影响HK Listco的当期所得税及递延所得税状况。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 333 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 383; IAS 12 | IFRS专业词汇.xlsx/Sheet1 row 130 | IFRS专业词汇.xlsx/Sheet1 row 273 | example: Illust_FS(12.25).txt: line 9350 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 12383 | example: Illust_FS(12.25).txt: line 5246,IFRS/HKFRS standards term library,IAS 12,Income taxes,5 - Very high / core,IPO
deferred tax,,phrase,递延所得税,Income tax,暂时性差异税务影响 | temporary differences | 税项 | IAS 12,"deferred tax is a professional expression used in income tax accounting, including current tax, deferred tax or temporary differences.",递延所得税，是所得税会计中的专业表达，通常涉及当期所得税、递延所得税或暂时性差异。,The consolidation worksheet shows how deferred tax affects group reporting.,合并工作底稿显示了递延所得税如何影响集团报告。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 318 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 384; IAS 12 | IFRS专业词汇.xlsx/Sheet1 row 131 | IFRS专业词汇.xlsx/Sheet1 row 274 | example: Illust_FS(12.25).txt: line 9509 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 12287 | example: Illust_FS(12.25).txt: line 5246,IFRS/HKFRS standards term library,IAS 12,Income taxes,5 - Very high / core,IPO
deferred tax asset,DTA,phrase,递延所得税资产,Income tax,可抵扣暂时性差异和税亏 | losses; deductible differences | 税项 | IAS 12,"An income tax amount recoverable in future periods in respect of deductible temporary differences, unused tax losses or unused tax credits.",递延所得税资产，是指因可抵扣暂时性差异、未使用税务亏损或未使用税款抵免而可在未来期间收回的所得税金额。,Deferred tax assets and liabilities are offset only if certain criteria are met.,递延所得税资产和负债仅在满足特定条件时方可互相抵销。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 318 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 390; IAS 12 | example: Illust_FS(12.25).txt: line 9509 | example: isg-2025-insights-an-overview.txt: line 1210 | example: Illust_FS(12.25).txt: line 3683 | IFRS专业词汇.xlsx/Sheet1 row 132 | IFRS专业词汇.xlsx/Sheet1 row 277 | example: isg-2025-insights-an-overview.txt: line 1152,IFRS/HKFRS standards term library,IAS 12,Income taxes,5 - Very high / core,IPO
Deferred tax liability,DTL,phrase,递延所得税负债,Income tax,应纳税暂时性差异 | balance sheet; business combinations | 税项 | IAS 12,An income tax amount payable in future periods in respect of taxable temporary differences.,递延所得税负债，是指因应纳税暂时性差异而将在未来期间支付的所得税金额。,"Deferred tax liabilities are recognised for taxable temporary differences, except in limited circumstances.",除有限情形外，应就应纳税暂时性差异确认递延所得税负债。,intermediate,Illust_FS(12.25).txt: line 2163 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 389; IAS 12 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 12356 | example: Illust_FS(12.25).txt: line 3663 | example: isg-2026-ifs.txt: line 6622 | IFRS专业词汇.xlsx/Sheet1 row 133 | IFRS专业词汇.xlsx/Sheet1 row 278 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 12495,IFRS/HKFRS standards term library,IAS 12,Income taxes,5 - Very high / core,Financial reporting
